Part,TrialN,PairID,LValue,RValue,ChosenITM,ChoiceRT,Conf,ConfRT,BlockCond,tDDT,lIA_DT,rIA_DT,tGSF,lastFixat,DV,zDV,absDV,zAbsDV,zConf,zChoiceRT
9,34,12,48,50,1,1751.6529999999998,60,948.7460000000001,MORE,46,462,508,0,0,2.0,0.18748169213489754,2.0,-1.2222530175967619,0.26371992450917375,-0.012451893196711278
9,35,32,80,77,0,2292.031,20,1429.007,MORE,-188,676,488,0,0,-3.0,-0.28122253820234633,3.0,-1.0476454436543674,-1.19128655554144,0.9467966925143886
9,36,43,117,110,0,2356.063,40,1291.98,MORE,-278,822,544,0,0,-7.0,-0.6561859224721414,7.0,-0.34921514788478913,-0.4637833155161331,1.0604626919448858
9,37,40,80,64,0,1909.306,60,764.3539999999999,MORE,-316,814,498,0,0,-16.0,-1.4998535370791803,16.0,1.2222530175967619,0.26371992450917375,0.267404831694221
9,38,31,80,78,1,1744.836,70,1114.145,MORE,-136,746,610,0,0,-2.0,-0.18748169213489754,2.0,-1.2222530175967619,0.6274715445218272,-0.024553047590103228
9,39,46,124,110,0,2723.051,40,1201.036,MORE,-568,1200,632,0,0,-14.0,-1.3123718449442827,14.0,0.8730378697119728,-0.4637833155161331,1.7119191168418004
9,40,58,92,110,1,2331.944,70,1459.4279999999999,NEXTLESS,-278,932,654,0,0,18.0,1.687335229214078,18.0,1.571468165481551,0.6274715445218272,1.0176480017858378
9,41,49,110,131,0,1934.475,50,1106.1,LESS,-342,884,542,0,0,21.0,1.9685577674164243,21.0,2.095290887308735,-0.10003169550347969,0.312083422705999
9,42,13,47,50,0,1540.8310000000001,60,1521.152,LESS,-360,908,548,1,2,3.0,0.28122253820234633,3.0,-1.0476454436543674,0.26371992450917375,-0.38669123183889387
9,43,16,50,44,1,1175.848,80,498.8,LESS,6,416,422,1,2,-6.0,-0.5624450764046927,6.0,-0.5238227218271837,0.9912231645344806,-1.0345884936789285
9,44,7,57,50,1,1182.059,50,700.044,LESS,-54,434,380,1,2,-7.0,-0.6561859224721414,7.0,-0.34921514788478913,-0.10003169550347969,-1.0235630763491117
9,45,18,42,50,1,1396.51,80,1137.744,LESS,60,438,498,1,2,8.0,0.7499267685395902,8.0,-0.17460757394239457,0.9912231645344806,-0.6428817413311595
9,46,51,108,110,1,1930.006,20,1261.313,LESS,-346,762,416,1,2,2.0,0.18748169213489754,2.0,-1.2222530175967619,-1.19128655554144,0.30415030564804557
9,47,31,78,80,1,1308.2939999999999,20,1022.559,LESS,-50,402,352,2,1,2.0,0.18748169213489754,2.0,-1.2222530175967619,-1.19128655554144,-0.7994778152592066
9,48,58,110,92,1,1036.766,80,732.857,LESS,-148,464,316,2,2,-18.0,-1.687335229214078,18.0,1.571468165481551,0.9912231645344806,-1.2814790254879047
9,49,12,50,48,0,1449.9360000000001,0,1954.664,LESS,-352,766,414,1,2,-2.0,-0.18748169213489754,2.0,-1.2222530175967619,-1.9187897955667468,-0.5480429156569071
